unix_seconds,monotonic_seconds,sectors_read,sectors_written,io_milliseconds,sector_bytes
1790417459.8276389,25808.100913625,73209652,948783144,1191386,512
1790417460.8279953,25809.101270567,73209652,949699912,1192377,512
1790417461.8283238,25810.101598715,73209652,950617784,1193374,512
1790417462.8286347,25811.101909422,73209652,951534064,1194374,512
1790417463.8290222,25812.102297198,73209652,952451144,1195370,512
1790417464.8293605,25813.102635404,73209652,953368136,1196365,512
1790417465.8297148,25814.102989697,73209652,954284616,1197359,512
1790417466.8300574,25815.103332453,73209652,955203144,1198355,512
1790417467.8303761,25816.103651109,73209652,956121696,1199350,512
1790417468.8307064,25817.103981169,73209652,957038688,1200344,512
1790417469.8310409,25818.104315476,73209652,957955680,1201338,512
1790417470.8313901,25819.10466514,73209652,958871648,1202332,512
1790417471.8316905,25820.104965772,73209652,959790200,1203327,512
1790417472.8321495,25821.105424448,73209652,960707704,1204319,512
1790417473.8325324,25822.10580742,73209652,961625720,1205319,512
1790417474.8328502,25823.106125224,73209652,962540664,1206313,512
1790417475.833233,25824.106508177,73209652,963458168,1207308,512
1790417476.8335161,25825.106791266,73209652,964376696,1208304,512
1790417477.8339539,25826.107228679,73209652,965293688,1209299,512
1790417478.8342392,25827.107513999,73209652,966211208,1210294,512
1790417479.8345914,25828.107866314,73209652,967129736,1211290,512
1790417480.8349545,25829.108229238,73209652,968045192,1212283,512
1790417481.8352509,25830.108525682,73209652,968963720,1213278,512
1790417482.8356555,25831.108930307,73209652,969879936,1214275,512
1790417483.8360784,25832.109353278,73209652,970797048,1215266,512
1790417484.8363748,25833.109649378,73209652,971715336,1216258,512
1790417485.8368373,25834.11011232,73209652,972630328,1217254,512
1790417486.837125,25835.110400441,73209652,973548712,1218253,512
1790417487.8373532,25836.110627412,73209652,974466088,1219251,512
1790417488.8377123,25837.110986707,73209652,975381768,1220244,512
1790417489.8380136,25838.111288366,73209652,976299072,1221243,512
1790417490.8383627,25839.111636933,73209652,977215392,1222239,512
1790417491.8388188,25840.112093517,73209652,978132696,1223236,512
1790417492.839163,25841.112438236,73209652,979049784,1224231,512
1790417493.8394253,25842.112699825,73209652,979964816,1225225,512
1790417494.839757,25843.113031573,73209652,980882408,1226218,512
1790417495.8400605,25844.113335583,73209652,981800656,1227214,512
1790417496.8404226,25845.113697287,73209652,982717136,1228206,512
1790417497.8407576,25846.114032203,73209652,983634640,1229202,512
1790417498.8411715,25847.11444607,73209652,984550608,1230196,512
1790417499.8414593,25848.114733395,73209652,985468576,1231193,512
1790417500.8418288,25849.115103119,73209652,986385568,1232185,512
1790417501.8420732,25850.115348185,73209652,987304608,1233187,512
1790417502.842345,25851.115619513,73209652,988221088,1234179,512
1790417503.8426208,25852.115895455,73209652,989138120,1235171,512
1790417504.8429627,25853.116236996,73209652,990056792,1236167,512
1790417505.8432176,25854.116492479,73209652,990972248,1237161,512
1790417506.8435373,25855.116812687,73209652,991890776,1238159,512
1790417507.8438873,25856.117162428,73209652,992807568,1239153,512
1790417508.8441725,25857.117447497,73209652,993725592,1240152,512
1790417509.844653,25858.117927852,73209652,994641344,1241147,512
1790417510.844942,25859.118216571,73209652,995558360,1242140,512
1790417511.8453367,25860.118611621,73209652,996475352,1243135,512
1790417512.8458724,25861.119147308,73209652,997394904,1244133,512
1790417513.8463495,25862.1196249,73209652,998310360,1245130,512
1790417514.846682,25863.119957392,73209652,999227864,1246123,512
1790417515.8471498,25864.120424698,73209652,1000145376,1247117,512
1790417516.949502,25865.222777038,73209652,1001157152,1248212,512
1790417517.9499588,25866.223233806,73209652,1002072144,1249203,512
1790417518.9503863,25867.223661213,73209652,1002990672,1250196,512
1790417519.950911,25868.224185946,73209652,1003908176,1251193,512
1790417520.9513702,25869.224645511,73209652,1004825712,1252184,512
1790417521.9518454,25870.22512037,73209652,1005743432,1253178,512
1790417522.9521732,25871.225448451,73209652,1006659680,1254174,512
1790417523.9525776,25872.225852674,73209652,1007576880,1255171,512
1790417524.9529507,25873.226225931,73209652,1008492216,1256164,512
