step,iteration_seconds,loss,tokens,vae_rank_mean_seconds,vae_rank_max_seconds,prepare_rank_mean_seconds,prepare_rank_max_seconds
326,13.34,2.0037,912410,3.026,3.25,3.066,3.298
327,13.32,1.2353,913432,3.03,3.277,3.069,3.317
328,13.17,1.2834,913964,2.971,3.062,3.008,3.104
329,13.03,1.0351,913037,2.958,3.013,2.995,3.047
330,13.11,1.2572,912672,2.971,3.04,3.008,3.076
331,13.19,1.2754,916719,2.964,3.053,3.0,3.092
332,13.27,1.1884,915754,3.0,3.128,3.039,3.169
333,13.43,1.8017,917471,3.026,3.14,3.064,3.182
334,13.2,1.1021,918605,2.979,3.036,3.018,3.075
335,13.39,1.3816,914574,3.005,3.104,3.044,3.145
336,13.26,1.4335,913967,3.005,3.15,3.043,3.188
337,13.26,1.7013,914851,2.979,3.066,3.018,3.109
338,13.33,1.5427,916722,3.003,3.097,3.04,3.136
339,13.37,1.1012,914339,3.012,3.192,3.049,3.231
340,13.22,1.4076,915146,3.002,3.124,3.039,3.163
341,13.14,1.2464,915203,2.986,3.119,3.022,3.161
342,13.21,1.4938,912744,3.014,3.211,3.051,3.252
343,13.15,1.805,915961,2.983,3.145,3.02,3.186
344,13.25,1.3336,915677,3.002,3.095,3.04,3.137
345,13.38,1.9865,913932,3.012,3.133,3.05,3.176
346,13.3,1.3012,913440,3.001,3.164,3.039,3.208
347,13.16,1.9346,916236,2.986,3.083,3.023,3.122
348,13.31,1.2553,914851,3.04,3.137,3.078,3.175
349,13.47,1.5313,913705,3.066,3.28,3.107,3.323
350,13.26,1.4057,914985,3.021,3.148,3.06,3.184
351,13.34,1.4605,913575,3.026,3.184,3.064,3.224
352,13.2,1.6331,910753,2.987,3.083,3.025,3.12
353,13.32,1.0826,912235,3.005,3.12,3.043,3.163
354,13.24,1.515,911632,2.987,3.12,3.025,3.159
355,13.19,1.1539,909879,3.007,3.151,3.044,3.188
356,13.24,1.1355,913993,3.022,3.147,3.06,3.195
357,13.38,1.5136,913613,3.024,3.193,3.061,3.24
358,13.27,1.411,913785,2.986,3.102,3.024,3.141
359,13.41,1.323,911472,3.016,3.171,3.054,3.216
360,13.3,1.1227,910294,3.013,3.116,3.051,3.155
361,13.24,1.4084,911270,2.976,3.051,3.013,3.089
362,13.36,1.0806,910985,3.023,3.196,3.062,3.239
363,13.22,1.3866,913582,3.002,3.064,3.043,3.102
364,13.49,1.3755,914258,3.048,3.201,3.087,3.241
365,13.33,1.294,914935,3.034,3.203,3.072,3.248
366,13.36,1.4064,915932,3.018,3.14,3.058,3.193
367,13.39,1.1317,910950,3.081,3.232,3.12,3.273
368,13.25,1.8016,910800,3.0,3.084,3.036,3.121
369,13.3,1.6198,915850,3.056,3.182,3.095,3.222
370,13.31,1.144,913942,3.021,3.123,3.059,3.16
371,13.26,1.6323,912026,2.985,3.089,3.022,3.128
372,13.23,1.6789,915587,2.98,3.081,3.017,3.118
373,13.14,1.511,912637,2.979,3.045,3.017,3.085
374,13.21,1.3486,917362,3.007,3.151,3.045,3.192
375,13.41,1.4411,912343,3.035,3.261,3.074,3.304
376,13.48,1.2995,915318,3.023,3.142,3.061,3.179
377,13.27,1.3066,913523,2.996,3.14,3.033,3.184
378,13.34,1.3523,912104,3.014,3.198,3.052,3.243
379,13.26,1.3297,912251,3.015,3.119,3.053,3.159
380,13.28,0.9696,916132,2.979,3.148,3.016,3.189
381,13.37,1.1174,911749,3.044,3.279,3.082,3.323
382,13.47,1.017,912135,3.007,3.146,3.044,3.187
383,13.5,0.9716,912730,3.056,3.329,3.094,3.373
384,13.29,1.1335,917303,2.997,3.149,3.034,3.193
385,13.25,1.3135,914739,3.002,3.091,3.04,3.133
386,13.31,1.2455,912924,3.039,3.107,3.077,3.157
387,13.4,1.1317,915935,3.014,3.218,3.052,3.267
388,13.4,1.2698,914059,3.074,3.214,3.112,3.256
389,13.32,1.7719,913299,3.001,3.125,3.04,3.165
390,13.2,1.1176,915673,2.984,3.054,3.021,3.092
