arm,split,condition,seed,steps,sum_reward,max_reward,success
baseline,test,dim,100066,300,0.1962475367390833,0.02095054502004436,False
robust,test,dim,100066,300,17.07542204601584,0.08582895757491087,False
baseline,test,dim,100067,300,144.28523946589075,0.9242551606586522,False
robust,test,dim,100067,279,145.07869491294971,1.0,True
baseline,test,dim,100068,300,0.0,0.0,False
robust,test,dim,100068,300,161.44328165039835,0.8762697763872372,False
baseline,test,dim,100069,300,216.875356238922,0.9929664322912597,False
robust,test,dim,100069,168,103.84058413702371,1.0,True
baseline,test,dim,100070,300,9.503225523751048,0.3675976934869255,False
robust,test,dim,100070,300,230.13515077893516,0.9195100242580339,False
baseline,test,dim,100071,300,121.34249514609914,0.9149277628888147,False
robust,test,dim,100071,300,11.346763392807574,0.316007408507805,False
baseline,test,dim,100072,300,220.3623789691194,0.9363774511776304,False
robust,test,dim,100072,300,174.93922740127067,0.9306313567290936,False
baseline,test,dim,100073,300,50.178707017815,0.7433434100640964,False
robust,test,dim,100073,300,100.48434881331984,0.6813040412030409,False
baseline,test,dim,100074,300,0.24516268673442515,0.042544615345182654,False
robust,test,dim,100074,300,58.42269155032713,0.30308220205913156,False
baseline,test,dim,100075,300,196.10395897302413,0.9444098504421768,False
robust,test,dim,100075,300,170.78532000696214,0.9699362755280686,False
baseline,test,dim,100076,300,0.0,0.0,False
robust,test,dim,100076,300,180.29642432425038,0.9726676393799027,False
baseline,test,dim,100077,300,124.43239873674452,0.889027131266484,False
robust,test,dim,100077,300,248.29810201667308,0.9505836614768016,False
baseline,test,dim,100078,300,1.0074853700141169,0.055327336127048495,False
robust,test,dim,100078,300,10.720432755385549,0.45883469712204666,False
baseline,test,dim,100079,300,118.0076404589371,0.8600625872381809,False
robust,test,dim,100079,300,158.86911442831598,0.9359241281185033,False
baseline,test,dim,100080,300,99.03749626397367,0.7375376666242767,False
robust,test,dim,100080,300,121.32488075146935,0.9705760840063409,False
baseline,test,dim,100081,300,87.70283681055942,0.3877817945655328,False
robust,test,dim,100081,300,138.65696743460595,0.6592591598477958,False
baseline,test,dim,100082,300,78.77047715009536,0.532933707352006,False
robust,test,dim,100082,300,0.0,0.0,False
baseline,test,dim,100083,300,0.0,0.0,False
robust,test,dim,100083,300,0.0,0.0,False
baseline,test,dim,100084,300,0.0,0.0,False
robust,test,dim,100084,300,36.27204621514186,0.1512343584229139,False
baseline,test,dim,100085,300,0.0,0.0,False
robust,test,dim,100085,214,36.24998248088401,1.0,True
baseline,test,dim,100086,300,202.59743366741935,0.6766468112467071,False
robust,test,dim,100086,300,197.32819042268682,0.6577606347422893,False
baseline,test,dim,100087,300,69.34470916341625,0.3176382390257521,False
robust,test,dim,100087,300,199.08974916547686,0.965133763583952,False
baseline,test,dim,100088,300,114.8466909281711,0.4648466052343828,False
robust,test,dim,100088,300,173.63216099893276,0.9628339155496372,False
baseline,test,dim,100089,300,20.000488098703215,0.5780072643859622,False
robust,test,dim,100089,300,16.05714928840916,0.1799256501474854,False
baseline,test,dim,100090,300,0.0,0.0,False
robust,test,dim,100090,300,30.364600880712086,0.24986839874363775,False
baseline,test,dim,100091,300,26.441606872253907,0.3609969339418494,False
robust,test,dim,100091,300,146.1054354697778,0.9200951474624876,False
baseline,test,dim,100092,300,194.62014719273824,0.7199114125891003,False
robust,test,dim,100092,300,178.8622800557275,0.6734293771164386,False
baseline,test,dim,100093,300,8.070970213978521,0.24422157879369757,False
robust,test,dim,100093,300,235.6733172461282,0.986791568502679,False
baseline,test,dim,100094,300,0.0,0.0,False
robust,test,dim,100094,300,0.0,0.0,False
baseline,test,dim,100095,300,3.455283404444413,0.10542391677877894,False
robust,test,dim,100095,191,62.58684142320192,1.0,True
baseline,test,warm,100032,300,30.00114813053324,0.3278618312088086,False
robust,test,warm,100032,300,152.10507160736648,0.9302885816156989,False
baseline,test,warm,100033,300,113.01842263129828,0.6591089194921083,False
robust,test,warm,100033,300,149.28911028546455,0.7209902821060771,False
baseline,test,warm,100034,300,4.184614698569752e-08,3.985146902518594e-08,False
robust,test,warm,100034,300,27.16289035129435,0.47503810426018694,False
baseline,test,warm,100035,300,7.487575991389091,0.02532680724847505,False
robust,test,warm,100035,300,7.652054616098782,0.02814212731463837,False
baseline,test,warm,100036,300,78.37203704463428,0.39891841269382583,False
robust,test,warm,100036,300,188.94752363851137,0.9159188067782856,False
baseline,test,warm,100037,79,19.539005753951752,1.0,True
robust,test,warm,100037,300,0.0,0.0,False
baseline,test,warm,100038,300,125.88733596535798,0.6681483846300377,False
robust,test,warm,100038,300,138.59770683732674,0.8634459989514488,False
baseline,test,warm,100039,300,212.01729104346043,0.8149473712037292,False
robust,test,warm,100039,246,143.4170027978366,1.0,True
baseline,test,warm,100040,300,0.12333928066566766,0.005809534055270585,False
robust,test,warm,100040,262,172.22995251563543,1.0,True
baseline,test,warm,100041,300,48.26747665994173,0.16414593842016942,False
robust,test,warm,100041,153,52.46660477152978,1.0,True
baseline,test,warm,100042,300,4.891094827272953,0.33077186491953753,False
robust,test,warm,100042,300,0.0,0.0,False
baseline,test,warm,100043,300,39.3500947942207,0.4043015060251,False
robust,test,warm,100043,300,46.159835255943726,0.29955705647301845,False
baseline,test,warm,100044,300,111.12641461649116,0.6062327126179128,False
robust,test,warm,100044,300,46.76041256862927,0.6862349991050938,False
baseline,test,warm,100045,300,7.3795937733679855,0.2828848069646279,False
robust,test,warm,100045,300,51.52372590937868,0.5481499760267314,False
baseline,test,warm,100046,300,0.0,0.0,False
robust,test,warm,100046,300,6.129331832005736,0.10590105186586225,False
baseline,test,warm,100047,300,10.545506294043111,0.21878489518122538,False
robust,test,warm,100047,300,142.5133121942601,0.5849734064939768,False
baseline,test,warm,100048,300,55.858765247972485,0.33800745875346505,False
robust,test,warm,100048,300,68.89378230857739,0.5969442447293759,False
baseline,test,warm,100049,300,201.98621962753163,0.7048548327763721,False
robust,test,warm,100049,184,80.90946325215606,1.0,True
baseline,test,warm,100050,300,93.78258508260447,0.3957834939857653,False
robust,test,warm,100050,300,166.15525448036345,0.7398747307630128,False
baseline,test,warm,100051,300,11.283660009358734,0.1850911380512445,False
robust,test,warm,100051,300,90.18826536703656,0.9131282493193751,False
baseline,test,warm,100052,300,159.0244511323878,0.5947880756961997,False
robust,test,warm,100052,300,164.74071907578337,0.6040674420371084,False
baseline,test,warm,100053,300,4.64643207662983,0.2300490256831674,False
robust,test,warm,100053,287,185.07354130532704,1.0,True
baseline,test,warm,100054,300,26.69977124717113,0.15836042577773535,False
robust,test,warm,100054,86,38.47585080949119,1.0,True
baseline,test,warm,100055,300,85.7177585366212,0.43401823451547533,False
robust,test,warm,100055,300,135.26116002836548,0.9922158219680012,False
baseline,test,warm,100056,300,1.7763610617217456,0.016577514295327115,False
robust,test,warm,100056,300,33.74157714163616,0.4642341502543023,False
baseline,test,warm,100057,300,50.234134259210876,0.343212852017695,False
robust,test,warm,100057,300,210.18686966041662,0.9941995629263,False
baseline,test,warm,100058,300,34.32308723032473,0.5692177332835249,False
robust,test,warm,100058,300,52.78618913636472,0.2244991556461121,False
baseline,test,warm,100059,300,244.1464084298703,0.9881768170084614,False
robust,test,warm,100059,92,45.04026749182473,1.0,True
baseline,test,warm,100060,300,0.0,0.0,False
robust,test,warm,100060,300,45.7164352652958,0.4240938650127453,False
baseline,test,warm,100061,300,1.3968262205442707,0.0942171809860172,False
robust,test,warm,100061,300,164.3201531162505,0.9490241477533634,False
baseline,test,warm,100062,300,0.6394388710160757,0.08384672220954222,False
robust,test,warm,100062,300,25.15401666286267,0.08384672220954222,False
baseline,test,warm,100063,300,64.95981701273416,0.41179684569052627,False
robust,test,warm,100063,300,152.6307137266825,0.9367710309989913,False
baseline,test,warm,100064,300,0.8927038646824573,0.14328782638337662,False
robust,test,warm,100064,300,40.945502051743006,0.19504337642122718,False
baseline,test,warm,100065,300,117.6987576470671,0.4017653796950366,False
robust,test,warm,100065,240,100.31353844871705,1.0,True
